ens_name,registration_date,registration_cost_ether,expiry_date,registration_hour,st_registration_cost_ether
haloarfs.eth,2023-03-11 22:28:47,0.003401911296817079,2024-03-11 04:17:59,22,-0.26573484081242343
chromatone.eth,2023-03-11 22:28:23,0.01020573389045124,2026-03-11 15:55:59,22,-0.15656376070573963
seanouns.eth,2023-03-11 22:24:11,0.01020573389045124,2026-03-11 15:51:47,22,-0.15656376070573963
awan.eth,2023-03-11 22:19:23,0.021772230919734414,2023-06-29 12:04:08,22,0.02902705333444923
schlock.eth,2023-03-11 22:19:11,0.00582696867088354,2024-03-11 04:08:23,22,-0.22682345986383468
5⃣6⃣8⃣4⃣.eth,2023-03-11 22:14:59,0.000259448187291489,2023-04-08 22:14:59,22,-0.3161573918329774
4⃣8⃣1⃣3⃣.eth,2023-03-11 22:14:59,0.000259448187291489,2023-04-08 22:14:59,22,-0.3161573918329774
bedsheet.eth,2023-03-11 22:12:59,0.034143473323411624,2024-03-11 04:02:11,22,0.22753045004774514
boredcfo.eth,2023-03-11 22:11:47,0.003384339448100419,2024-03-11 04:00:59,22,-0.26601679080119356
northstardhruv.eth,2023-03-11 22:10:47,0.013537357792401679,2027-03-11 21:27:35,22,-0.10310602060747825
musicartist.eth,2023-03-11 22:10:23,0.003384339448100419,2024-03-11 03:59:35,22,-0.26601679080119356
qidaorisk.eth,2023-03-11 22:08:47,0.003384339448100419,2024-03-11 03:57:59,22,-0.26601679080119356
canonrock.eth,2023-03-11 22:06:11,0.003384339448100419,2024-03-11 03:55:23,22,-0.26601679080119356
ekx.eth,2023-03-11 21:53:59,0.43427490708580824,2024-03-11 03:43:11,21,6.6478596410745086
darkmother.eth,2023-03-11 21:51:23,0.003392772711611722,2024-03-11 03:40:35,21,-0.26588147444429516
nedaazimi.eth,2023-03-11 21:51:11,0.003392772711611722,2024-03-11 03:40:23,21,-0.26588147444429516
meiai.eth,2023-03-11 21:43:35,0.003373181496725849,2024-03-11 03:32:47,21,-0.2661958262752342
unstablerelease.eth,2023-03-11 21:30:11,0.003414421071971752,2024-03-11 03:19:23,21,-0.26553411458143594
icky.eth,2023-03-11 21:29:11,0.020759677070688407,2023-05-20 06:59:31,21,0.012780069253771079
growwithjo.eth,2023-03-11 21:27:11,0.006828842143943504,2025-03-11 09:05:35,21,-0.21074784829710663
svbdao.eth,2023-03-11 21:25:47,0.003414421071971752,2024-03-11 03:14:59,21,-0.26553411458143594
terraformnavigator.eth,2023-03-11 21:20:23,0.01707210535985876,2028-03-11 02:26:23,21,-0.04638904944411873
gainsbybrains.eth,2023-03-11 21:18:35,0.006828842143943504,2025-03-11 08:56:59,21,-0.21074784829710663
yamanotejourneyer.eth,2023-03-11 21:15:47,0.006828842143943504,2025-03-11 08:54:11,21,-0.21074784829710663
wwebets.eth,2023-03-11 21:14:35,0.003414421071971752,2024-03-11 03:03:47,21,-0.26553411458143594
laurenkagan.eth,2023-03-11 21:11:11,0.006828842143943504,2025-03-11 08:49:35,21,-0.21074784829710663
tryanal.eth,2023-03-11 21:07:47,0.003414421071971752,2024-03-11 02:56:59,21,-0.26553411458143594
boreddevs.eth,2023-03-11 21:05:59,0.003414421071971752,2024-03-11 02:55:11,21,-0.26553411458143594
new-murraba.eth,2023-03-11 21:05:23,0.003414421071971752,2024-03-11 02:54:35,21,-0.26553411458143594
boredd3vdude.eth,2023-03-11 21:04:59,0.003414421071971752,2024-03-11 02:54:11,21,-0.26553411458143594
boredpromo.eth,2023-03-11 21:04:47,0.003414421071971752,2024-03-11 02:53:59,21,-0.26553411458143594
boredpromos.eth,2023-03-11 21:04:35,0.003414421071971752,2024-03-11 02:53:47,21,-0.26553411458143594
boredblockchainanalyst.eth,2023-03-11 21:02:47,0.003414421071971752,2024-03-11 02:51:59,21,-0.26553411458143594
boreddevelopers.eth,2023-03-11 21:01:11,0.003414421071971752,2024-03-11 02:50:23,21,-0.26553411458143594
poopdeck.eth,2023-03-11 21:00:23,0.003414421071971752,2024-03-11 02:49:35,21,-0.26553411458143594
pudgycorn.eth,2023-03-11 21:00:11,0.003414421071971752,2024-03-11 02:49:23,21,-0.26553411458143594
kayakrentals.eth,2023-03-11 20:57:11,0.006828842143943504,2025-03-11 08:35:35,20,-0.21074784829710663
cyberspacebank.eth,2023-03-11 20:56:59,0.003414421071971752,2024-03-11 02:46:11,20,-0.26553411458143594
pmisirov.eth,2023-03-11 20:55:59,0.03414421071971752,2033-03-11 07:07:59,20,0.2275422819775278
✌🏾✌🏾.eth,2023-03-11 20:55:23,0.013653863982665349,2023-04-26 12:39:02,20,-0.10123661462941821
✊🏻✊🏻.eth,2023-03-11 20:55:23,0.013653863982665349,2023-04-26 12:39:02,20,-0.10123661462941821
🙏🏿🙏🏿.eth,2023-03-11 20:55:23,0.013653863982665349,2023-04-26 12:39:02,20,-0.10123661462941821
✊🏼✊🏼.eth,2023-03-11 20:55:23,0.013653863982665349,2023-04-26 12:39:02,20,-0.10123661462941821
🤘🏼🤘🏼.eth,2023-03-11 20:55:23,0.013653863982665349,2023-04-26 12:39:02,20,-0.10123661462941821
👍🏼👍🏼.eth,2023-03-11 20:55:23,0.013653863982665349,2023-04-26 12:39:02,20,-0.10123661462941821
✌🏼✌🏼.eth,2023-03-11 20:55:23,0.013653863982665349,2023-04-26 12:39:02,20,-0.10123661462941821
boredbusinessstarts.eth,2023-03-11 20:54:59,0.003413465995670373,2024-03-11 02:44:11,20,-0.26554943930661373
0xloveydovey.eth,2023-03-11 20:52:59,0.003413465995670373,2024-03-11 02:42:11,20,-0.26554943930661373
boredengineer.eth,2023-03-11 20:51:47,0.003413465995670373,2024-03-11 02:40:59,20,-0.26554943930661373
boredd3vguy.eth,2023-03-11 20:50:23,0.003413465995670373,2024-03-11 02:39:35,20,-0.26554943930661373
boredartguy.eth,2023-03-11 20:48:47,0.003413465995670373,2024-03-11 02:37:59,20,-0.26554943930661373
saudi-esports.eth,2023-03-11 20:48:23,0.006826931991340747,2025-03-11 08:26:47,20,-0.2107784977474622
boredartlady.eth,2023-03-11 20:47:23,0.003413465995670373,2024-03-11 02:36:35,20,-0.26554943930661373
b0r3ddev.eth,2023-03-11 20:47:23,0.003413465995670373,2024-03-11 02:36:35,20,-0.26554943930661373
b0reddev.eth,2023-03-11 20:47:11,0.003413465995670373,2024-03-11 02:36:23,20,-0.26554943930661373
puricelli.eth,2023-03-11 20:46:11,0.01024039798701112,2026-03-11 14:13:47,20,-0.1560075561883107
boredartgal.eth,2023-03-11 20:45:23,0.003413465995670373,2024-03-11 02:34:35,20,-0.26554943930661373
evacatmy.eth,2023-03-11 20:37:35,0.01024039798701112,2026-03-11 14:05:11,20,-0.1560075561883107
🌑🌑🌑🌑.eth,2023-03-11 20:37:23,0.010923090493854317,2023-04-17 09:12:18,20,-0.14505337898466875
metamario.eth,2023-03-11 20:35:23,0.006826931991340747,2025-03-11 08:13:47,20,-0.2107784977474622
boredprofiles.eth,2023-03-11 20:26:47,0.003413465995670373,2024-03-11 02:15:59,20,-0.26554943930661373
killabearsordinals.eth,2023-03-11 20:24:23,0.013653863982681494,2027-03-11 19:41:11,20,-0.10123661462915916
viktorkuzminwh7886.eth,2023-03-11 20:22:23,0.003413465995670373,2024-03-11 02:11:35,20,-0.26554943930661373
fieni.eth,2023-03-11 20:20:11,0.01024039798701112,2026-03-11 13:47:47,20,-0.1560075561883107
veronelli.eth,2023-03-11 20:12:23,0.01024039798701112,2026-03-11 13:39:59,20,-0.1560075561883107
demix.eth,2023-03-11 20:11:11,0.01024039798701112,2026-03-11 13:38:47,20,-0.1560075561883107
morgangibbs-white.eth,2023-03-11 20:09:23,0.01024039798701112,2026-03-11 13:36:59,20,-0.1560075561883107
plectro.eth,2023-03-11 20:08:47,0.013653863982681494,2027-03-11 19:25:35,20,-0.10123661462915916
reglatronicsa.eth,2023-03-11 20:08:35,0.01024039798701112,2026-03-11 13:36:11,20,-0.1560075561883107
reglatronic.eth,2023-03-11 20:06:59,0.017067329978351867,2028-03-11 01:12:59,20,-0.04646567307000763
moonmachines.eth,2023-03-11 20:02:47,0.003413465995670373,2024-03-11 01:51:59,20,-0.26554943930661373
